Date,Open,High,Low,Close,Adj Close,Volume
3/15/2011,3.65,3.81,3.63,3.78,3.78,40100
3/16/2011,3.76,3.9,3.75,3.76,3.76,29300
3/17/2011,3.75,3.99,3.75,3.89,3.89,92200
3/18/2011,3.91,4,3.8,3.94,3.94,20000
3/21/2011,3.98,4.1,3.98,4.06,4.06,68100
3/22/2011,4,4.1,3.99,3.99,3.99,18500
3/23/2011,3.97,4.01,3.95,3.95,3.95,12300
3/24/2011,3.96,3.98,3.92,3.93,3.93,4300
3/25/2011,3.91,4.05,3.85,3.91,3.91,16200
3/28/2011,3.86,4,3.86,3.9,3.9,15700
3/29/2011,3.86,3.95,3.86,3.88,3.88,8800
3/30/2011,3.91,3.94,3.85,3.85,3.85,8400
3/31/2011,3.81,3.91,3.81,3.91,3.91,8500
4/1/2011,3.87,3.91,3.82,3.91,3.91,8500
4/4/2011,3.96,3.98,3.88,3.95,3.95,13900
4/5/2011,3.93,3.99,3.87,3.99,3.99,6500
4/6/2011,4.01,4.01,3.95,3.96,3.96,6700
4/7/2011,3.98,4.02,3.96,4.01,4.01,17900
4/8/2011,4.04,4.1,3.91,4.09,4.09,14300
4/11/2011,4.1,4.15,4.03,4.06,4.06,26800
4/12/2011,4.02,4.14,3.96,4.1,4.1,17500
4/13/2011,4.07,4.19,4.03,4.12,4.12,10900
4/14/2011,4.18,4.24,4.1,4.24,4.24,28000
4/15/2011,4.24,4.3,4.16,4.22,4.22,26800
4/18/2011,4.18,4.2,4,4.03,4.03,18100
4/19/2011,4.06,4.24,4.04,4.23,4.23,11800
4/20/2011,4.24,4.24,4,4.11,4.11,15600
4/21/2011,4.09,4.18,4,4.14,4.14,11700
4/25/2011,4.19,4.26,4.15,4.22,4.22,24300
4/26/2011,4.28,4.41,4.23,4.4,4.4,38600
4/27/2011,4.44,4.59,4.4,4.49,4.49,53000
4/28/2011,4.57,4.57,4.28,4.28,4.28,24000
4/29/2011,4.46,4.48,4.35,4.42,4.42,18000
5/2/2011,4.52,4.55,4.25,4.33,4.33,29000
5/3/2011,4.34,4.46,4.34,4.4,4.4,7100
5/4/2011,4.39,4.39,4.26,4.28,4.28,30100
5/5/2011,4.28,4.35,4.28,4.34,4.34,6800
5/6/2011,4.26,4.31,4.02,4.13,4.13,35000
5/9/2011,4.12,4.17,3.9,3.96,3.96,11000
5/10/2011,3.98,4,3.9,3.96,3.96,6500
5/11/2011,3.94,4.03,3.94,3.99,3.99,5100
5/12/2011,3.64,3.98,3.46,3.66,3.66,71600
5/13/2011,3.65,3.78,3.65,3.75,3.75,20000
5/16/2011,3.7,3.73,3.5,3.53,3.53,7600
5/17/2011,3.53,3.78,3.44,3.57,3.57,26200
5/18/2011,3.52,3.65,3.52,3.54,3.54,9000
5/19/2011,3.52,3.65,3.52,3.58,3.58,1900
5/20/2011,3.53,3.59,3.52,3.58,3.58,4700
5/23/2011,3.52,3.59,3.51,3.52,3.52,11600
5/24/2011,3.51,3.54,3.5,3.5,3.5,18600
5/25/2011,3.51,3.51,3.43,3.43,3.43,7900
5/26/2011,3.42,3.44,3.34,3.44,3.44,32500
5/27/2011,3.4,3.44,3.38,3.39,3.39,9400
5/31/2011,3.5,3.5,3.44,3.45,3.45,25500
6/1/2011,3.48,3.69,3.45,3.65,3.65,31000
6/2/2011,3.85,3.85,3.37,3.57,3.57,56500
6/3/2011,3.54,3.6,3.45,3.51,3.51,4500
6/6/2011,3.5,3.5,3.28,3.32,3.32,22900
6/7/2011,3.33,3.4,3.25,3.25,3.25,22100
6/8/2011,3.28,3.3,3.1,3.1,3.1,10300
6/9/2011,3.09,3.23,2.91,3.17,3.17,15900
6/10/2011,3.21,3.25,3.01,3.15,3.15,10800
6/13/2011,3.11,3.11,2.95,3,3,18700
6/14/2011,3.06,3.19,3.05,3.08,3.08,5600
6/15/2011,3.05,3.06,2.96,2.99,2.99,17300
6/16/2011,2.99,3.06,2.99,3.06,3.06,3900
6/17/2011,3.02,3.12,3.02,3.1,3.1,4400
6/20/2011,3.06,3.07,2.93,2.95,2.95,39500
6/21/2011,2.92,3.1,2.92,3,3,8600
6/22/2011,3.01,3.01,2.75,2.79,2.79,29300
6/23/2011,2.79,2.94,2.79,2.86,2.86,8400
6/24/2011,2.91,2.91,2.59,2.62,2.62,32200
6/27/2011,2.62,2.69,2.52,2.62,2.62,31100
6/28/2011,2.64,2.67,2.59,2.6,2.6,18600
6/29/2011,2.65,2.68,2.53,2.62,2.62,21400
6/30/2011,2.62,2.66,2.58,2.66,2.66,11000
7/1/2011,2.68,2.8,2.55,2.74,2.74,27800
7/5/2011,2.69,2.94,2.57,2.82,2.82,28600
7/6/2011,2.79,3,2.79,2.93,2.93,26600
7/7/2011,2.97,3.05,2.75,2.92,2.92,35600
7/8/2011,2.97,3.08,2.92,3.05,3.05,22200
7/11/2011,2.99,3.11,2.9,2.9,2.9,12200
7/12/2011,2.99,3.07,2.99,3.02,3.02,6000
7/13/2011,2.96,3.09,2.93,3,3,21100
7/14/2011,3,3.04,2.94,2.99,2.99,29100
7/15/2011,2.97,2.97,2.93,2.95,2.95,4100
7/18/2011,2.98,2.99,2.9,2.99,2.99,9300
7/19/2011,2.91,2.99,2.9,2.96,2.96,28700
7/20/2011,3.02,3.02,2.9,2.96,2.96,12000
7/21/2011,2.99,2.99,2.92,2.92,2.92,8500
7/22/2011,2.88,2.96,2.86,2.87,2.87,6600
7/25/2011,2.85,2.9,2.85,2.85,2.85,11900
7/26/2011,2.85,2.97,2.8,2.83,2.83,6300
7/27/2011,2.8,2.89,2.71,2.72,2.72,15500
7/28/2011,2.76,2.87,2.7,2.76,2.76,7800
7/29/2011,2.8,2.82,2.62,2.67,2.67,38000
8/1/2011,2.77,3.07,2.73,3.03,3.03,64900
8/2/2011,3.06,3.06,2.54,2.63,2.63,157200
8/3/2011,2.72,2.74,2.63,2.65,2.65,15600
8/4/2011,2.75,2.82,2.63,2.74,2.74,49400
8/5/2011,2.81,2.83,2.7,2.71,2.71,26500
8/8/2011,2.63,2.7,2.01,2.01,2.01,101400
8/9/2011,2.49,3.01,2.17,2.96,2.96,121200
8/10/2011,3,3,2.6,2.73,2.73,37900
8/11/2011,2.67,2.76,2.6,2.73,2.73,15100
8/12/2011,2.74,2.82,2.65,2.78,2.78,15400
8/15/2011,3,3,2.73,2.73,2.73,34900
8/16/2011,2.84,2.84,2.6,2.68,2.68,39800
8/17/2011,2.63,2.8,2.6,2.65,2.65,15800
8/18/2011,2.78,2.78,2.5,2.7,2.7,23700
8/19/2011,2.78,2.78,2.5,2.68,2.68,20100
8/22/2011,2.7,2.84,2.56,2.84,2.84,37300
8/23/2011,2.85,2.85,2.61,2.66,2.66,17700
8/24/2011,2.71,2.72,2.62,2.67,2.67,11400
8/25/2011,2.7,2.72,2.62,2.65,2.65,7900
8/26/2011,2.65,2.72,2.61,2.66,2.66,5000
8/29/2011,2.72,2.72,2.61,2.7,2.7,8800
8/30/2011,2.8,2.82,2.62,2.69,2.69,24800
8/31/2011,2.74,2.8,2.55,2.64,2.64,29300
9/1/2011,2.68,2.72,2.58,2.62,2.62,22200
9/2/2011,2.65,2.7,2.55,2.7,2.7,15200
9/6/2011,2.55,2.7,2.55,2.7,2.7,7800
9/7/2011,2.65,2.72,2.63,2.7,2.7,49000
9/8/2011,2.67,2.85,2.5,2.7,2.7,60900
9/9/2011,2.63,2.72,2.55,2.7,2.7,8100
9/12/2011,2.85,2.85,2.5,2.5,2.5,89100
9/13/2011,2.47,2.8,2.47,2.56,2.56,19800
9/14/2011,2.56,2.6,2.47,2.54,2.54,22600
9/15/2011,2.56,2.7,2.45,2.58,2.58,12400
9/16/2011,2.53,2.72,2.53,2.7,2.7,11300
9/19/2011,2.58,2.69,2.54,2.58,2.58,19200
9/20/2011,2.63,2.67,2.53,2.55,2.55,23600
9/21/2011,2.47,2.68,2.47,2.51,2.51,11600
9/22/2011,2.48,2.48,2.26,2.26,2.26,37800
9/23/2011,2.63,2.63,2.28,2.37,2.37,15700
9/26/2011,2.31,2.37,2.25,2.33,2.33,39000
9/27/2011,2.33,2.45,2.25,2.37,2.37,31100
9/28/2011,2.32,2.35,2.25,2.26,2.26,13000
9/29/2011,2.29,2.46,2.14,2.19,2.19,19000
9/30/2011,2.23,2.28,2.15,2.25,2.25,12000
10/3/2011,2.19,2.24,2.05,2.06,2.06,11100
10/4/2011,2.06,2.06,1.9,1.91,1.91,36500
10/5/2011,2.02,2.02,1.9,1.99,1.99,16700
10/6/2011,2.04,2.1,1.95,2.04,2.04,37300
10/7/2011,2,2.1,2,2.04,2.04,4200
10/10/2011,2.12,2.12,1.9,2.04,2.04,14400
10/11/2011,2.01,2.08,1.99,2.03,2.03,12900
10/12/2011,2.09,2.12,2.03,2.05,2.05,8500
10/13/2011,2.03,2.19,2.03,2.12,2.12,12800
10/14/2011,2.15,2.15,2.03,2.05,2.05,9900
10/17/2011,2.1,2.18,2.04,2.05,2.05,15700
10/18/2011,2.04,2.15,2.04,2.09,2.09,3900
10/19/2011,2.04,2.15,2.04,2.06,2.06,22900
10/20/2011,2.06,2.13,2.04,2.04,2.04,11900
10/21/2011,2.04,2.2,2,2.15,2.15,44600
10/24/2011,2.2,2.2,2.04,2.15,2.15,25800
10/25/2011,2.12,2.13,2.05,2.05,2.05,16200
10/26/2011,2.12,2.18,2.06,2.07,2.07,12400
10/27/2011,2.05,2.15,2.03,2.11,2.11,25000
10/28/2011,2.14,2.17,2.07,2.1,2.1,13100
10/31/2011,2.04,2.1,2.02,2.02,2.02,20500
11/1/2011,2.01,2.08,2,2.01,2.01,18100
11/2/2011,2.01,2.08,2,2.08,2.08,6100
11/3/2011,2.15,2.15,2,2.05,2.05,11500
11/4/2011,2.03,2.08,2.02,2.02,2.02,2500
11/7/2011,2.01,2.02,2,2.02,2.02,10200
